intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""200""","=""1.31e+07""",D+,"=""0.00070272""","=""0.49689770""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",,"=""T5071""","=""L3521""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""100w""","=""1.50e+07""",D,"=""0.00000000""","=""0.49494393""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""200""","=""3.67e+07""",D+,"=""0.00203356""","=""0.49689770""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",,"=""T5071""","=""L3521""",
"=""200""","=""3.35e+07""",D+,"=""0.00070272""","=""0.49494393""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""300""","=""1.68e+08""",C+,"=""0.00000000""","=""0.49377246""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""100""","=""5.68e+07""",E,"=""0.00070272""","=""0.49431699""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",,"=""T8363""","=""L3521""",
"=""400""","=""2.33e+08""",C+,"=""0.00070272""","=""0.49395312""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""2""",,"=""T8363c22""","=""L3521""",
"=""200""","=""1.23e+08""",C+,"=""0.00070272""","=""0.49377246""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""100""","=""3.92e+07""",D+,"=""0.00203356""","=""0.49494393""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""500""","=""3.05e+08""",C+,"=""0.00203356""","=""0.49443147""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",,"=""T8363c22""","=""L3521""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""200""","=""7.40e+07""",C+,"=""0.00203356""","=""0.49395312""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",,"=""T8363c22""","=""L3521""",
"=""50""","=""7.92e+06""",C,"=""0.00203356""","=""0.49377246""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""500w""","=""1.07e+08""",D,"=""0.05739934""","=""0.54344930""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""1""",,"=""T5071""","=""L3521""",
