intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""3.92e+06""",C,"=""0.17518621""","=""1.086321""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""3.62e+07""",C+,"=""0.17526560""","=""1.086321""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""2.72e+06""",C,"=""0.17526560""","=""1.086321""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""1.86e+02""",B,"=""0.00000000""","=""0.90820439""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",,"=""T7370""","=""""",
"=""""","=""8.40e+02""",B,"=""0.00000000""","=""0.90819997""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",,"=""T7370""","=""""",
"=""90""","=""3.53e+07""",C,"=""0.17518621""","=""1.02874065""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""7/2""",,"=""u18,LS""","=""L3513""",
"=""""","=""2.34e+06""",D+,"=""0.17518621""","=""1.02802331""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""5/2""",,"=""u18,LS""","=""""",
"=""60""","=""3.28e+07""",C,"=""0.17526560""","=""1.02802331""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""5/2""",,"=""u18,LS""","=""L3513""",
"=""""","=""1.26e+08""",C+,"=""0.26280309""","=""1.104460""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""6.55e+07""",C,"=""0.26279958""","=""1.098678""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""1.31e+08""",C,"=""0.26280309""","=""1.098678""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""7.88e+07""",C,"=""0.26279958""","=""1.096356""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
"=""""","=""3.85e+07""",C,"=""0.26280309""","=""1.096356""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
"=""""","=""1.99e+07""",C,"=""0.26279958""","=""1.096342""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""9.96e+07""",C,"=""0.26280309""","=""1.096342""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""1.15e+06""",C,"=""0.26279958""","=""1.094940""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
